Jersey	Jersey
Japan_Kyushu	Japan_Kyushu Region_Nagasaki
Hungary	Hungary_Kozep-Magyarorszag
USA_Minnesota	US_Minnesota_Minneapolis
USA_West Virginia	US_West Virginia
USA_Ohio	US_Ohio_Dayton
Canada_Quebec	Canada_Quebec_Quebec
UK_England	UK_England_South West England_Cornwall
UK_England	UK_England_South West England_Bristol
USA_Tennessee	US_Tennessee_East
UK_Wales	UK_Wales
Canada_Ontario	Canada_Ontario_Bame
USA_Pennsylvania	US_Pennsylvania_Scranton
USA_Pennsylvania	US_Pennsylvania_Pittsburgh
Norway	Norway_Central
Canada_Ontario	Canada_Ontario_Toronto
USA_Iowa	US_Iowa_Waterloo
UK_England	UK_England_West Midlands
UK_England	UK_England_North West England
Russia_Central	Russia_Vladimir Oblast
Russia_Central	Russia_Moscow
Russia_Central	Russia_Tula Oblast
Georgia	Abkhazia
Georgia	South Ossetia
Russia_North Caucasian	Russia_Ingushetia
Russia_North Caucasian	Russia_Kabardino-Balkaria
Russia_North Caucasian	Russia_North Ossetia-Alania
Russia_North Caucasian	Russia_Republic of Dagestan
Russia_North Caucasian	Russia_Chechen Republic
USA_Florida	US_Florida_Tampa
Japan_Hokkaido	Japan_Hokkaido Region_West
Canada_Ontario	Canada_Ontario_Northeastern_Central
Russia_Central	Russia_Voronezh Oblast
Russia_Central	Russia_Belgorod Oblast
Russia_Central	Russia_Tambov Oblast
Cameroon	Cameroon_West
Canada_Ontario	Canada_Ontario_Northern
Canada_Ontario	Canada_Ontario_Northeastern_W
Canada_Ontario	Canada_Ontario_Northeastern_S
USA_Illinois	US_Illinois_Rockford
Spain	Spain_Castile-La Mancha
Spain	Spain_Aragon
Spain	Spain_Valencian Community
Serbia	Serbia
Macedonia	Macedonia
Bulgaria	Bulgaria
Kosovo	Republic of Kosovo
Romania	Romania_South_West
Romania	Romania_West
Spain	Spain_Castile and Leon
Spain	Spain_La Rioja
Spain	Spain_Galicia
Spain	Spain_Community of Madrid
Spain	Spain_Cantabria
Russia_Central	Russia_Bryansk Oblast
Russia_Central	Russia_Kaluga Oblast
USA_Massachusetts	US_Massachusetts_West
USA_Connecticut	US_Connecticut
USA_Vermont	US_Vermont
USA_New York	US_New York_West
USA_New York	US_New York_North
USA_New York	US_New York_East
Spain	Spain_Basque Country
Spain	Spain_Principado de Asturias
Bhutan	Bhutan
Dominican Republic	Dominican Republic
Haiti	Haiti
USA_Florida	US_Florida_Jacksonville
USA_Iowa	US_Iowa_Des Moines
USA_Texas	US_Texas_Houston
USA_Texas	US_Texas_Wako
South Korea	South Korea_North
North Korea	North Korea
South Korea	South Korea_South
Norway	Norway_Oppland
USA_Georgia	US_Georgia_South
USA_Wisconsin	US_Wisconsin_North
South Africa	South Africa_Limpopo
USA_California	US_California_Bakersfield_Bakersfield
Russia_Volga	Russia_Nizhny Novgorod Oblast
Russia_Volga	Russia_Chuvashia
Russia_Central	Russia_Ivanovo Oblast
Canada_Quebec	Canada_Quebek_West_Rouyn-Noranda
Russia_Volga	Russia_Mari El
Russia_Central	Russia_Ryazan Oblast
Russia_Volga	Russia_Republic of Mordovia
Swaziland	Swaziland
Canada_Quebec	Canada_Quebek_Far North
South Africa	South Africa_KwaZulu-Natal
South Africa	South Africa_Mpumalanga
USA_Alabama	US_Alabama_Birmingham
USA_Louisiana	US_Louisiana_New Orleans
USA_Alabama	US_Alabama_Montgomery
USA_Maine	US_Maine
USA_Massachusetts	US_Massachusetts_Boston
USA_New Hampshire	US_New Hampshire
Ukraine	Ukraine_Donetsk Oblast
Crimea	Crimea
Russia_Southern	Russia_Krasnodar Krai
Russia_Southern	Russia_Krasnodar Krai_Adygeya
Russia_Southern	Russia_Rostov Oblast
Russia_North Caucasian	Russia_Karachay-Cherkessia
Russia_North Caucasian	Russia_Stavropol Krai
Ireland	Ireland_Munster
Ireland	Ireland_Connacht
Ireland	Ireland_Leinster
Belarus	Belarus_Vitebsk Region
Estonia	Estonia_East
USA_Texas	US_Texas_Southwest
USA_Texas	US_Texas_San Antonio
USA_Texas	US_Texas_Austin
Sweden	Sweden_Vastra Gotaland
Spain	Spain_Andalusia
Spain	Spain_Region de Murcia
Russia_Central	Russia_Smolensk Oblast
Italy	Italy_Calabria
Italy	Italy_Campania
Sweden	Sweden_Malardalen
Russia_Central	Russia_Moscow Oblast
Palestine	Palestine
Canada_Ontario	Canada_Ontario_Northeastern_North
Saint Pierre and Miquelon	Canada_Newfoundland_South
Canada_Newfoundland and Labrador	Canada_Newfoundland_South
USA_California	US_California_San Diego
Togo	Togo
USA_Georgia	US_Georgia_Macon
Sweden	Sweden_Sodra Gotaland
South Africa	South Africa_Gauteng
Belize	Belize
Russia_Volga	Russia_Samara Oblast
Russia_Volga	Russia_Ulyanovsk Oblast
Canada_Quebec	Canada_Quebek_West_Chibougamau
Canada_Ontario	Canada_Ontario_Northeastern_SE
Canada_Quebec	Canada_Quebek_Montreal
Honduras	Honduras
Canada_Quebec	Canada_Quebek_Southeast_Rimouski
Indonesia	Indonesia_Jawa Barat
Greece	Greece_Decentralized Administration of West Greece
Russia_Northwestern	Russia_Saint Petersburg
Russia_Northwestern	Russia_Pskov Oblast
Canada_Newfoundland and Labrador	Canada_Newfoundland_East
Albania	Albania
Italy	Italy_Apulia
Greece	Greece_Decentralized Administration of Epirus - Western Macedonia
Canada_New Brunswick	Canada_New Brunswick
USA_Minnesota	US_Minnesota_North
Croatia	Croatia
Montenegro	Montenegro
Hungary	Hungary_Northern Great Plain
Hungary	Hungary_Transdanubia
Bosnia and Herzegovina	Bosnia and Herzegovina_Brcko district of Bosnia and Herzegowina
Slovenia	Slovenia
Bosnia and Herzegovina	Bosnia and Herzegovina_Entity Federation of Bosnia and Herzegovina
Greece	Greece_Decentralized Administration of Macedonia and Thrace
Norway	Norway_Southern
Russia_Southern	Russia_Astrakhan Oblast
India	India_West Bengal
India	India_Assam
India	India_Meghalaya
Norway	Norway_Hedmark
USA_Oklahoma	US_Oklahoma_East
Bangladesh	Bangladesh
Japan_Kyushu	Japan_Kyushu Region_Kumamoto
India	India_Tripura
Finland	Finland_Southern Finland_West
Japan_Kyushu	Japan_Kyushu Region_Kagoshima
Sri Lanka	Sri Lanka
Japan_Kyushu	Japan_Kyushu Region_Miyazaki
China	China_Shanghai
USA_Arkansas	US_Arkansas
USA_Missouri	US_Missouri_East
USA_Texas	US_Texas_Tyler
USA_Mississippi	US_Mississippi
USA_Louisiana	US_Louisiana_Central
USA_Tennessee	US_Tennessee_West
USA_Washington	US_Washington_Coast
USA_Washington	US_Washington_Seattle
Italy	Italy_Sicily
India	India_Odisha
India	India_Tamil Nadu
India	India_Kerala
USA_Michigan	US_Michigan_South
USA_Michigan	US_Michigan_Detroit
USA_Ohio	US_Ohio_Cleveland
USA_Indiana	US_Indiana_North
USA_Michigan	US_Michigan_North
India	India_Andhra Pradesh
Russia_Southern	Russia_Republic of Kalmykia
Sweden	Sweden_Ostra Gotaland
Finland	Finland_Southern Finland_Helsinki
Finland	Finland_Southern Finland_Lappeenranta
Sweden	Sweden_Bergslagen
China	China_Fujian
China	China_Zhejiang
USA_Arizona	US_Arizona_Phoenix
USA_Texas	US_Texas_Dallas
Brazil_Southeast	Brazil_Southeast Region_Sao Paulo_Campinas
China	China_Jilin
Turkey	Turkey_Mediterranean Region
Turkey	Central Anatolia Region
Georgia	Georgia
Armenia	Armenia
Turkey	Turkey_Aegean Region
Turkey	Turkey_Southeastern Anatolia Region
China	China_Anhui
China	China_Jiangxi
Turkey	Turkey_Marmara Region
Turkey	Turkey_Black Sea Region
USA_Oregon	US_Oregon_Portland
USA_Oregon	US_Oregon_Eugene
Morocco	Morocco_Doukkala-Abda
Morocco	Morocco_Rabat-Sale-Zemmour-Zaer
Russia_Volga	Russia_Tatarstan
Russia_Volga	Russia_Udmurt Republic
China	China_Hubei
China	China_Shanxi
Sierra Leone	Sierra Leone
China	China_Jiangsu
USA_Kansas	US_Kansas_West
USA_Missouri	US_Missouri_West
USA_Kansas	US_Kansas_East
China	China_Hunan
China	China_Guizhou
Canada_Yukon	Canada_Yukon_North
El Salvador	El Salvador
Nicaragua	Nicaragua
Russia_Volga	Russia_Bashkortostan
Lebanon	Lebanon
Israel	Israel
South Africa	South Africa_Eastern Cape
South Africa	Kingdom of Lesotho
USA_Washington	US_Washington_Yakima
Russia_Volga	Russia_Perm Krai
China	China_Shandong
China	China_Henan
Canada_British Columbia	Canada_British Columbia_Far_North
Canada_British Columbia	Canada_British Columbia_Central
Russia_Northwestern	Russia_Arkhangelsk Oblast_Central
USA_Minnesota	US_Minnesota_Rochester
India	India_Delhi
USA_California	US_California_Sacramento_Sacramento
USA_California	US_California_Chico
Russia_Central	Russia_Yaroslavl Oblast
USA_North Dakota	US_North Dakota_East
USA_Minnesota	US_Minnesota_Saint Cloud
Ghana	Ghana
India	India_Haryana
Russia_Central	Russia_Kostroma Oblast
Russia_Central	Russia_Tver Oblast
Russia_Northwestern	Russia_Novgorod Oblast
India	India_Madhya Pradesh
India	India_Maharashtra
India	India_Karnataka
India	India_Uttar Pradesh
Brazil_South	Brazil_South Region
Brazil_South	Brazil_Santa Catarina
Uruguay	Uruguay
India	India_Jharkhand
India	India_Bihar
USA_Colorado	US_Colorado_Aspen
China	China_Guangxi
USA_Iowa	US_Iowa_West
USA_Utah	US_Utah
USA_Nevada	US_Nevada
USA_California	US_California_Sacramento_Fresno
USA_Nebraska	US_Nebraska
USA_California	US_California_Redding
USA_Oregon	US_Oregon_West
USA_California	US_California_Sacramento_Stockton
USA_California	US_California_Bakersfield_Lancaster
USA_South Dakota	US_South Dakota
Russia_Northwestern	Russia_Leningradskaya Oblast_Southeast
Ivory Coast	Cote dIvoire
USA_Arizona	US_Arizona_Flagstaff
USA_Colorado	US_Colorado_South
Panama	Panama
Brazil_Southeast	Brazil_Southeast Region_Sao Paulo_West
Argentina	Argentina_Mesopotamia
USA_Idaho	US_Idaho
Argentina	Argentina_Buenos Aires_North
Argentina	Argentina_Pampas
Thailand	Thailand_South
Azerbaijan	Nagorno-Karabakh
Azerbaijan	Azerbaijan
Canada_Northwest Territories	Canada_Northwest Territories_Yellowknife
Turkey	Turkey_Eastern Anatolia Region
Argentina	Argentina_Buenos Aires_South
Brazil_Northeast	Brazil_Rio Grande do Norte
Brazil_Northeast	Brazil_Paraiba
Cambodia	Cambodia
India	India_Telangana
Morocco	Morocco_Western Sahara
Sahrawi	Morocco_Western Sahara
India	India_Chhattisgarh
Morocco	Morocco_Southern
USA_Colorado	US_Colorado_Denver
Cocos Island	Costa Rica
Costa Rica	Costa Rica
Clipperton Island	Costa Rica
Australia	Australia_Melbourne
Australia	Australia_Tasmania
Indonesia	Indonesia_Jawa Timur
Finland	Finland_Western Finland
Finland	Finland_Eastern Finland
Brazil_South	Brazil_Parana
Brazil_Central-West	Brazil_Goias
Canada_British Columbia	Canada_British Columbia_Southeast
USA_Texas	US_Texas_Northwest
USA_Texas	US_Texas_West
USA_Oklahoma	US_Oklahoma_West
Brazil_Southeast	Brazil_Southeast Region_Minas Gerais_Contagem
Brazil_Southeast	Brazil_Southeast Region_Rio de Janeiro
Brazil_Southeast	Brazil_Southeast Region_Minas Gerais_North
USA_Montana	US_Montana
Canada_Alberta	Canada_Alberta_South
USA_North Dakota	US_North Dakota_Bismarck
USA_Wyoming	US_Wyoming
USA_North Dakota	US_North Dakota_Minot
China	China_Chongqing
Russia_Siberian	Russia_Kemerov Oblast
Mexico	Mexico_Central_East
Finland	Finland_Northern Finland
South Africa	South Africa_Northern Cape
South Africa	South Africa_North West
Sweden	Sweden_Norra Sverige
South Africa	South Africa_Free State
Sweden	Sweden_Mellannorrland
Canada_British Columbia	Canada_British Columbia_North
Norway	Norway_Northern
Svalbard and Jan Mayen	Norway_Svalbard
Norway	Norway_Trondelag
Colombia	Colombia_North
Russia_Northwestern	Russia_Murmansk Oblast
Venezuela	Venezuela
Canada_Saskatchewan	Canada_Saskatchewan_North
Mexico	Mexico_Mexico
Vietnam	Vietnam
Tajikistan	Tajikistan
Namibia	Namibia
Zimbabwe	Zimbabwe
Mozambique	Mozambique
Botswana	Botswana
Philippines	Philippines_Luzon_North
Philippines	Philippines_Visayas
Mexico	Mexico_East
Mexico	Mexico_South
Tanzania	Tanzania
Philippines	Philippines_Luzon_South
Philippines	Philippines_Luzon_Manila
China	China_Guangdong
China	China_Qinghai
Canada_Saskatchewan	Canada_Saskatchewan_South
Russia_Northwestern	Russia_Republic of Karelia
Canada_Manitoba	Canada_Manitoba_Northwest
Syria	Syria
Jordan	Jordan
USA_New Mexico	US_New Mexico
India	India_Punjab
Pakistan	Pakistan
India	India_Gujarat
India	India_Rajasthan
Russia_Siberian	Russia_Tomsk Oblast
Brazil_Central-West	Brazil_Mato Grosso
Brazil_Central-West	Brazil_Mato Grosso Do Sul
Kenya	Kenya
Peru	Peru_North
Peru	Peru_South
Senegal	Senegal
Burkina Faso	Burkina Faso
Guinea	Guinea
Canada_Alberta	Canada_Alberta_Edmonton
New Zealand	New Zealand North_Auckland
New Zealand	New Zealand North_Wellington
Colombia	Colombia_West
Malpelo Island	Colombia_West
Malawi	Malawi
India	India_Himachal Pradesh
Guatemala	Guatemala
Portugal	Portugal_South
Spain	Spain_Extremadura
Portugal	Portugal_North
Russia_Volga	Russia_Kirov Oblast
Russia_Urals	Russia_Sverdlovsk Oblast
Russia_Urals	Russia_Yugra
Benin	Benin
Cameroon	Cameroon_Central
Eritrea	Eritrea
Djibouti	Djibouti
Burma	Myanmar
Laos	Laos
Brazil_Northeast	Brazil_Northeast Region
Brazil_North	Brazil_North Region
Brazil_Southeast	Brazil_Southeast Region_Espirito Santo
China	China_Heilongjiang
China	China_Ningxia Hui
East Timor	East Timor
China	China_Gansu
China	China_Shaanxi
China	China_Liaoning
China	China_Hebei
Iraq	Iraq
Iran	Iran_South
Iran	Iran_North
Afghanistan	Afghanistan
Angola	Angola
Indonesia	Indonesia_Central
Malaysia	Malaysia
Indonesia	Indonesia_Jawa Tengah
Indonesia	Indonesia_Nusa Tenggara
Australia	Australia_South Australia
New Zealand	New Zealand South_Southland
New Zealand	New Zealand South_Canterbury
Saudi Arabia	Saudi Arabia
Congo-Kinshasa	Congo-Kinshasa
Australia	Australia_Western Australia
Christmas Island	Australia_Western Australia
Cocos Islands	Australia_Western Australia
Australia	Australia_Victoria
Japan_Kanto	Japan_Kanto_Kanagawa
Japan_Chubu	Japan_Chubu Region_Yamanashi
Sudan	Sudan
Ethiopia	Ethiopia
Chad	Chad
Japan_Kanto	Japan_Kanto_Tokyo
Japan_Kanto	Japan_Kanto_Chiba
Japan_Kanto	Japan_Kanto_Saitama
Northern Mariana Islands	US_Guam
Guam	US_Guam
India	India_Jammu and Kashmir
Mongolia	Mongolia
Central African Republic	Central African Republic
South Sudan	South Sudan
Libya	Libya
Australia	Australia_Queensland
Australia	Australia_New South Wales
Norfolk Island	Australia_New South Wales
Qatar	Qatar
Egypt	Egypt
United Arab Emirates	United Arab Emirates
Yemen	Yemen
Oman	Oman
Russia_Siberian	Russia_Zabaykalsky Krai
Russia_Siberian	Russia_Buryatia
Russia_Siberian	Russia_Tuva
Rwanda	Rwanda
Uganda	Uganda
Burundi	Burundi
Zambia	Zambia
China	China_Inner Mongolia
New Caledonia	France_New Caledonia
Kazakhstan	Kazakhstan
Russia_Urals	Russia_Tyumen Oblast
Uzbekistan	Uzbekistan
